"","0","1","m_rate"
"SLE",114,0,0
"SLO",477,30,0.0591715976331361
"SMR",144,0,0
"SOL",27,0,0
"SOM",32,0,0
"SRB",275,85,0.236111111111111
"SRI",144,2,0.0136986301369863
"SSD",3,0,0
"STP",15,0,0
"SUD",106,1,0.00934579439252336
"SUI",3587,416,0.103922058456158
"SUR",67,2,0.0289855072463768
"SVK",467,42,0.0825147347740668
"SWE",4968,1108,0.182356813693219
"SWZ",64,0,0
"SYR",153,3,0.0192307692307692
"TAN",159,2,0.0124223602484472
"TCH",3039,330,0.0979519145146928
"TGA",44,1,0.0222222222222222
"THA",711,30,0.0404858299595142
"TJK",56,4,0.0666666666666667
"TKM",54,0,0
"TLS",8,0,0
"TOG",55,1,0.0178571428571429
"TPE",951,49,0.049
"TTO",336,32,0.0869565217391304
"TUN",548,13,0.0231729055258467
"TUR",1083,95,0.0806451612903226
"TUV",7,0,0
"UAE",142,2,0.0138888888888889
"UAR",121,2,0.016260162601626
"UGA",253,7,0.0269230769230769
"UKR",1791,188,0.0949974734714502
"UNK",2,0,0
"URS",2559,2063,0.446343574210299
"URU",512,63,0.109565217391304
"USA",10062,5002,0.332049920339883
"UZB",431,33,0.0711206896551724
"VAN",35,0,0
"VEN",903,15,0.0163398692810458
"VIE",150,4,0.025974025974026
"VIN",42,0,0
"VNM",62,0,0
"WIF",15,5,0.25
"YAR",11,0,0
"YEM",32,0,0
"YMD",5,0,0
"YUG",1663,383,0.187194525904203
"ZAM",181,2,0.0109289617486339
"ZIM",287,22,0.0711974110032362
